Amatsu Station	天津駅（あまつ）
Amaya Station	あまや駅
Amino Station	網野駅（あみの）
Amori Station	安茂里駅（あもり）
An-Ar[edit]
Anabe Station	穴部駅（あなべ）
Anabuki Station	穴吹駅（あなぶき）
Anagawa Station (Chiba)	穴川駅 (千葉県)（あながわ）
Anagawa Station (Mie)	穴川駅 (三重県)（あながわ）
Anamizu Station	穴水駅（あなみず）
Anamoriinari Station	穴守稲荷駅（あなもりいなり）
Anan Station	阿南駅（あなん）
Ananai Station	穴内駅（あなない）
Anayama Station	穴山駅（あなやま）
Andō Station	安堂駅（あんどう）
Anebetsu Station	姉別駅（あねべつ）
Anegasaki Station	姉ヶ崎駅（あねがさき）
Ani-Matagi Station	阿仁マタギ駅（あにマタギ）
Aniai Station	阿仁合駅（あにあい）
Anihata Station	兄畑駅（あにはた）
Ani-Maeda Station	阿仁前田駅（あにまえだ）
Anjinzuka Station	安針塚駅(あんじんづか)
Anjō Station	安城駅（あんじょう）
Annaka Station	安中駅（あんなか）
Annakaharuna Station	安中榛名駅（あんなかはるな）
Anō Station (Fukuoka)	穴生駅（あのお）
Anō Station (Mie)	穴太駅 (三重県)（あのう）
Anō Station (Shiga)	穴太駅 (滋賀県)（あのお）
Antaroma Station	安足間駅（あんたろま）
Anzen Station	安善駅（あんぜん）
Ao Station	粟生駅（あお）
Aoba Station	青葉駅（あおば）
Aobadai Station	青葉台駅（あおばだい）
Aoba-dōri Station	あおば通駅（あおばどおり）
Aoba-dori Ichibancho Station	青葉通一番町駅（あおばどおりいちばんちょう）
Aobayama Station	青葉山駅（あおばやま）
Aobe Station	青部駅（あおべ）
Aohara Station	青原駅（あおはら）
Aohori Station	青堀駅（あおほり）
Aoi Station	青井駅（あおい）
Aoidake Station	青井岳駅（あおいだけ）
Aokura Station	青倉駅（あおくら）
Aomi Station	青海駅 (東京都)（あおみ）
Aomono-yokochō Station	青物横丁駅（あおものよこちょう）
Aomori Station	青森駅（あおもり）
Aonogahara Station	青野ヶ原駅（あおのがはら）
Aonogō Station	青郷駅（あおのごう）
Aonoyama Station	青野山駅（あおのやま）
Aonuma Station	青沼駅（あおぬま）
Aoshima Station	青島駅（あおしま）
Aoto Station	青砥駅（あおと）
Aotsuka Station	青塚駅（あおつか）
Aoya Station	青谷駅（あおや）
Aoyagi Station	青柳駅（あおやぎ）
Aoyagichō Station	青柳町駅（あおやぎちょう）
Aoyama Station (Aichi)	青山駅 (愛知県)（あおやま）
Aoyama Station (Iwate)	青山駅 (岩手県)（あおやま）
Aoyama Station (Niigata)	青山駅 (新潟県)（あおやま）
Aoyamachō Station	青山町駅（あおやまちょう）
Aoyama-itchōme Station	青山一丁目駅（あおやまいっちょうめ）
Aozasa Station	青笹駅（あおざさ）
Aōzu Station	粟生津駅（あおうづ）
Appikōgen Station	安比高原駅（あっぴこうげん）
Aputoichishiro Station	アプトいちしろ駅（あぷといちしろ）
Aragakashinokidai Station	荒河かしの木台駅（あらがかしのきだい）
Arahama Station	荒浜駅（あらはま）
Arahata Station	荒畑駅（あらはた）
Arai Station (Hyogo)	荒井駅 (兵庫県)（あらい）
Arai Station (Miyagi)	荒井駅 (宮城県)（あらい）
Arai Station (Niigata)	新井駅 (新潟県)（あらい）
Araijuku Station	新井宿駅（あらいじゅく）
Araimachi Station	新居町駅（あらいまち）
Araiyakushimae Station	新井薬師前駅（あらいやくしまえ）
Arakawa-itchūmae Station	荒川一中前駅（あらかわいっちゅうまえ）
Arakawakuyakushomae Station	荒川区役所前駅（あらかわくやくしょまえ）
Arakawa-nanachōme Station	荒川七丁目駅（あらかわななちょうめ）
Arakawa-nichōme Station	荒川二丁目駅（あらかわにちょうめ）
Arakawaoki Station	荒川沖駅（あらかわおき）
Arakawa-shakomae Station	荒川車庫前駅（あらかわしゃこまえ）
Arakawa-yūenchimae Station	荒川遊園地前駅（あらかわゆうえんちまえ）
Araki Station (Fukuoka)	荒木駅（あらき）
Araki Station (Chiba)	新木駅 (千葉県)（あらき）
Arako Station	荒子駅（あらこ）
Arakogawa-kōen Station	荒子川公園駅（あらこがわこうえん）
Aramachi Station (Miyagi)	荒町駅 (宮城県)（あらまち）
Aramachi Station (Toyama)	荒町駅 (富山県)（あらまち）
Aramoto Station	荒本駅（あらもと）
Arao Station (Gifu)	荒尾駅 (岐阜県)（あらお）
Arao Station (Kumamoto)	荒尾駅 (熊本県)（あらお）
Arase Station	荒瀬駅（あらせ）
Arashima Station	荒島駅（あらしま）
Arashiyama Station (Keifuku)	嵐山駅 (京福電気鉄道)（あらしやま）
Arashiyama Station (Hankyu)	嵐山駅 (阪急)（あらしやま）
Aratamabashi Station	新瑞橋駅（あらたまばし）
Aratano Station	新野駅 (徳島県)（あらたの）
Arato Station	荒砥駅（あらと）
Araya Station (Akita)	新屋駅 (秋田県)（あらや）
Araya Station (Gunma)	新屋駅 (群馬県)（あらや）
Arayamae Station	荒谷前駅（あらやまえ）
Araya-Shinmachi Station	荒屋新町駅（あらやしんまち）
Ariake Station (Nagano)	有明駅 (長野県)（ありあけ）
Ariake Station (Tokyo)	有明駅 (東京都)（ありあけ）
Ariake-tennis-no-mori Station	有明テニスの森駅（ありあけてにすのもり）
Ariake-Yue Station	有明湯江駅（ありあけゆえ）
Arihata Station	有畑駅（ありはた）
Arii Station	有井駅（ありい）
Ariigawa Station	有井川駅（ありいがわ）
Arikabe Station	有壁駅（ありかべ）
Arimagawa Station	有間川駅（ありまがわ）
Arimaguchi Station	有馬口駅（ありまぐち）
Arimaonsen Station	有馬温泉駅（ありまおんせん）
Arimatsu Station	有松駅（ありまつ）
Arimineguchi Station	有峰口駅（ありみねぐち）
Arioka Station	有岡駅（ありおか）
Arisa Station	有佐駅（ありさ）
Arisugawa Station	有栖川駅（ありすがわ）
Arita Station	有田駅（ありた）
Arito Station	有戸駅（ありと）
Ariyoshi Station	在良駅（ありよし）
As[edit]
Asa Station	厚狭駅（あさ）
Asabu Station	麻生駅（あさぶ）
Asagaya Station	阿佐ヶ谷駅（あさがや）
Asagiri Station (Hyōgo)	朝霧駅（あさぎり）
Asagiri Station (Kumamoto)	あさぎり駅
Asagishi Station	浅岸駅（あさぎし）
Asahi Station (Chiba)	旭駅 (千葉県)（あさひ）
Asahi Station (Kochi)	旭駅 (高知県)（あさひ）
Asahi Station (Mie)	朝日駅（あさひ）
Asahi Station (Nagano)	朝陽駅（あさひ）
Asahibashi Station	旭橋駅（あさひばし）
Asahigaoka Station (Miyagi)	旭ヶ丘駅 (宮城県)（あさひがおか）
Asahigaoka Station (Miyazaki)	旭ヶ丘駅 (宮崎県)（あさひがおか）
Asahigaoka Station (Shimane)	朝日ヶ丘駅（あさひがおか）
Asahigaoka Station (Toyama)	旭ヶ丘駅 (富山県)（あさひがおか）
Asahihama Station	旭浜駅（あさひはま）
Asahikawa Station	旭川駅（あさひかわ）
Asahikawayojō Station	旭川四条駅（あさひかわよじょう）
Asahimae Station	旭前駅（あさひまえ）
Asahino Station	朝日野駅（あさひの）
Asahiōtsuka Station	朝日大塚駅（あさひおおつか）
Asaji Station	朝地駅（あさじ）
Asaka Station (Osaka)	浅香駅（あさか）
Asaka Station (Saitama)	朝霞駅（あさか）
Asakadai Station	朝霞台駅（あさかだい）
Asakanagamori Station	安積永盛駅（あさかながもり）
Asakawa Station	浅川駅（あさかわ）
Asakayama Station	浅香山駅（あさかやま）
Asakura Station (Aichi)	朝倉駅 (愛知県)（あさくら）
Asakura Station (JR Shikoku)	朝倉駅 (JR四国)（あさくら）
Asakura Station (Tosa Electric Railway)	朝倉駅 (土佐電気鉄道)（あさくら）
Asakuraekimae Station	朝倉駅前駅（あさくらえきまえ）
Asakuragaidō Station	朝倉街道駅（あさくらがいどう）
Asakusa Station (Tokyo Metro, Toei, Tobu)	浅草駅（あさくさ）
Asakusa Station (Tsukuba Express)	浅草駅 (首都圏新都市鉄道)（あさくさ）
Asakusabashi Station	浅草橋駅（あさくさばし）
Asama Station	朝熊駅（あさま）
Asamushi-Onsen Station	浅虫温泉駅（あさむしおんせん）
Asanai Station	浅内駅（あさない）
Asanamachi Station	朝菜町駅（あさなまち）
Asanami Station	浅海駅（あさなみ）
Asano Station	浅野駅（あさの）
Asari Station (Hokkaido)	朝里駅（あさり）
Asari Station (Shimane)	浅利駅（あさり）
Asashiobashi Station	朝潮橋駅（あさしおばし）
Asato Station	安里駅（あさと）
Aseri Station	安栖里駅（あせり）
Ashibetsu Station	芦別駅（あしべつ）
Ashidachi Station	足立駅（あしだち）
Ashidaki Station	足滝駅（あしだき）
Ashigakubo Station	芦ヶ久保駅（あしがくぼ）
Ashigara Station (Kanagawa)	足柄駅 (神奈川県)（あしがら）
Ashigara Station (Shizuoka)	足柄駅 (静岡県)（あしがら）
Ashigase Station	足ヶ瀬駅（あしがせ）
Ashigawa Station	芦川駅 (山梨県)（あしがわ）
Ashihara Station	芦原駅（あしはら）
Ashiharabashi Station	芦原橋駅（あしはらばし）
Ashiharachō Station	芦原町駅（あしはらちょう）
Ashikaga Station	足利駅（あしかが）
Ashikaga Flower Park Station	あしかがフラワーパーク駅（あしかがふらわーぱーく）
Ashikagashi Station	足利市駅（あしかがし）
Ashikajima Station	海鹿島駅（あしかじま）
Ashimori Station	足守駅（あしもり）
Ashino-Kōen Station	芦野公園駅（あしのこうえん）
Ashinomakionsen Station	芦ノ牧温泉駅（あしのまきおんせん）
Ashinomakionsenminami Station	芦ノ牧温泉南駅（あしのまきおんせんみなみ）
Ashio Station	足尾駅（あしお）
Ashisawa Station	芦沢駅（あしさわ）
Ashiya Station (JR West)	芦屋駅 (JR西日本)（あしや）
Ashiya Station (Hanshin)	芦屋駅 (阪神)（あしや）
Ashiyagawa Station	芦屋川駅（あしやがわ）
Aso Station (Kumamoto)	阿蘇駅（あそ）
Aso Station (Mie)	阿曽駅（あそ）
Aso-Shimodajō-Fureai-Onsen Station	阿蘇下田城ふれあい温泉駅（あそしもだじょうふれあいおんせん）
Aso-Shirakawa Station	阿蘇白川駅（あそしらかわ）
Asō Station	吾桑駅（あそう）
Asōzu Station	浅水駅（あそうず）
Asso Station	朝来駅（あっそ）
Asuka Station	飛鳥駅（あすか）
Asukayama Station	飛鳥山駅（あすかやま）
Asumomae Station	アスモ前駅（あすもまえ）
Asunarou Yokkaichi Station	あすなろう四日市駅（あすなろうよっかいち）
Asuwa Station	足羽駅（あすわ）
Asuwayama-Koenguchi Station	足羽山公園口駅（あすわやまこうえんぐち）
At-Az[edit]
Atago Station (Chiba)	愛宕駅 (千葉県)（あたご）
Atago Station (Miyagi)	愛宕駅 (宮城県)（あたご）
Atagobashi Station	愛宕橋駅（あたごばし）
Atami Station	熱海駅（あたみ）
Atashika Station	新鹿駅（あたしか）
Atawa Station	阿田和駅（あたわ）
Aterazawa Station	左沢駅（あてらざわ）
Ato Station	安登駅（あと）
Atomic Bomb Dome Station	原爆ドーム前駅（げんばくどーむまえ）
Atsu Station	厚保駅（あつ）
Atsubetsu Station	厚別駅（あつべつ）
Atsuga Station	厚賀駅（あつが）
Atsugi Station	厚木駅（あつぎ）
Atsumi Onsen Station	あつみ温泉駅（あつみおんせん）
Atsunai Station	厚内駅（あつない）
Atsuta Station	熱田駅（あつた）
Attoko Station	厚床駅（あっとこ）
Awa Station	安和駅（あわ）
Awa-Akaishi Station	阿波赤石駅（あわあかいし）
Awa-Amatsu Station	安房天津駅（あわあまつ）
Awa-Fukui Station	阿波福井駅（あわふくい）
Awagasaki Station	粟ヶ崎駅（あわがさき）
Awa-Handa Station	阿波半田駅（あわはんだ）
Awai Station	粟井駅（あわい）
Awa-Ikeda Station	阿波池田駅（あわいけだ）
Awaji Station	淡路駅（あわじ）
Awajichō Station	淡路町駅（あわじちょう）
Awa-Kainan Station	阿波海南駅（あわかいなん）
Awa-Kamo Station	阿波加茂駅（あわかも）
Awa-Kamogawa Station	安房鴨川駅（あわかもがわ）
Awa-Katsuyama Station	安房勝山駅（あわかつやま）
Awa-Kawabata Station	阿波川端駅（あわかわばた）
Awa-Kawaguchi Station	阿波川口駅（あわかわぐち）
Awa-Kawashima Station	阿波川島駅（あわかわしま）
Awa-Kominato Station	安房小湊駅（あわこみなと）
Awakuraonsen Station	あわくら温泉駅（あわくらおんせん）
Awa-Nakashima Station	阿波中島駅（あわなかしま）
Awano Station	粟野駅（あわの）
Awa-Ōmiya Station	阿波大宮駅（あわおおみや）
Awa-Ōtani Station	阿波大谷駅（あわおおたに）
Awaraonsen Station	芦原温泉駅（あわらおんせん）
Awara-Yunomachi Station	あわら湯のまち駅（あわらゆのまち）
Awa-Tachibana Station	阿波橘駅（あわたちばな）
Awa-Tomida Station	阿波富田駅（あわとみだ）
Awaya Station	粟屋駅（あわや）
Awa-Yamakawa Station	阿波山川駅（あわやまかわ）
Awaza Station	阿波座駅（あわざ）
Awazu Station (Ishikawa)	粟津駅 (石川県)（あわづ）
Awazu Station (Shiga)	粟津駅 (滋賀県)（あわづ）
Ayabe Station	綾部駅（あやべ）
Ayagawa Station	綾川駅（あやがわ）
Ayameike Station	菖蒲池駅（あやめいけ）
Ayame Kōen Station	あやめ公園駅（あやめこうえん）
Ayanochō Station	綾ノ町駅（あやのちょう）
Ayaori Station	綾織駅（あやおり）
Ayaragi Station	綾羅木駅（あやらぎ）
Ayase Station	綾瀬駅（あやせ）
Ayashi Station	愛子駅（あやし）
Ayukai Station	鮎貝駅（あゆかい）
Ayukawa Station	鮎川駅 (秋田県)（あゆかわ）
Azabujūban Station	麻布十番駅（あざぶじゅうばん）
Azami Station	阿左美駅（あざみ）
Azamino Station	あざみ野駅（あざみの）
Azamui Station	浅海井駅（あざむい）
Azōno Station	薊野駅（あぞうの）
Azuchi Station	安土駅（あづち）
Azuma Station	吾妻駅（あづま）
Azumada Station	東田駅（あずまだ）
Azumada-Sakaue Station	東田坂上駅（あずまださかうえ）
Azumi-Kutsukake Station	安曇沓掛駅（あずみくつかけ）
Azumi-Oiwake Station	安曇追分駅（あずみおいわけ）
Azusabashi Station	梓橋駅（あずさばし）
